,x,y_mean,y_sd,y1,y2,y3,y4,y5
0,0.5000,6.3830,0.3185,6.1569,6.6080,5.8799,6.5226,6.7477
1,1.0000,5.4716,0.3655,5.7596,5.1780,5.7598,4.8968,5.7637
2,1.5000,4.6233,0.0584,4.7244,4.5656,4.5697,4.6453,4.6118
3,2.0000,4.4556,0.7265,3.0619,4.8051,5.1548,4.5137,4.7427
4,2.5000,4.4529,0.3044,4.0939,4.8239,4.1516,4.7765,4.4185
5,3.0000,4.6663,0.2437,4.7483,4.2758,4.9917,4.5321,4.7839
6,3.5000,4.6096,0.0863,4.5255,4.6230,4.7166,4.4969,4.6859
7,4.0000,4.6202,0.3825,3.9139,5.0785,4.6758,4.6925,4.7405
8,4.5000,4.7405,0.2391,4.6555,4.4263,5.0223,4.5829,5.0155
9,9.0000,4.4545,0.1096,4.5951,4.3167,4.5542,4.4587,4.3477
10,9.5000,5.9423,0.2085,5.6608,6.1728,5.7973,6.1900,5.8907
11,10.0000,7.7901,0.2140,7.6617,7.4953,8.1072,7.9418,7.7444
12,8.3000,3.3381,0.4923,3.2030,3.8571,3.5997,3.5845,2.4464
13,8.0000,3.5405,0.2048,3.9492,3.4384,3.4155,3.4434,3.4559
14,8.2000,3.3598,0.2377,3.0937,3.6116,3.2518,3.1668,3.6751
15,8.2000,3.5546,0.6317,3.9389,2.9717,4.0782,4.1606,2.6237
16,8.2000,3.2826,0.5618,3.5924,3.0635,3.1520,2.4610,4.1440
17,7.9000,3.4919,0.1590,3.3415,3.5487,3.5058,3.3113,3.7523
18,8.2000,3.6058,0.1218,3.7406,3.5647,3.6865,3.3909,3.6461
19,8.2000,3.7042,0.1653,3.6544,3.5486,3.5298,3.9555,3.8325
20,7.1000,3.6063,0.0881,3.7144,3.5235,3.6420,3.4834,3.6684
21,6.3000,3.9006,0.5786,2.9498,4.3902,4.5453,4.0297,3.5878
22,7.8000,3.3770,0.6697,4.1000,3.7251,2.3127,2.8911,3.8561
